FR,English,Popularity
veut,wants,163
ans,years,164
m.,m.,165
mal,wrong,166
chez,at the house of,167
déjà,already,168
depuis,since,169
beaucoup,many,170
vos,your,171
bonne,good,172
mort,dead,173
mieux,better,174
vas,go,175
mère,mother,176
sera,will be,177
dis,say,178
fille,girl,179
tes,your,180
gens,people,181
quel,what,182
vois,see,183
désolé,sorry,184
ca,that,185
voilà,here is,186
avons,have,187
petit,small,188
maison,House,189
soit,that is,190
cela,that,191
autres,others,192
toute,all,193
soir,evening,194
passé,pass,195
prendre,take,196
jour,day,197
monsieur,Sir,198
nos,our,199
savoir,to know,200
choses,things,201
salut,Salvation,202
cet,this,203
nom,name,204
argent,money,205
bonjour,Hello,206
nuit,night,207
raison,raison,208
moins,less,209
arrive,come,210
maman,mom,211
reste,just stay,212
moment,moment,213
voulais,wanted,214
seul,Alone,215
aider,to help,216
air,air,217
entre,Between,218
papa,dad,219
passe,past,220
aurais,would have,221
problème,problem,222
ah,ah,223
peur,fear,224
regarde,looked,225
voulez,want,226
gars,guys,227
trouvé,find,228
fils,son,229
attends,hold on,230
savez,know,231
jusqu',up-to-date,232
trouver,to find,233
trois,three,234
assez,enough,235
famille,family,236
dû,from,237
eh,eh,238
toutes,all,239
plaît,please,240
pourrait,could,241
travail,work,242
pris,taken,243
pu,could,244
tête,head,245
quelle,what,246
sait,know,247
sommes,are,248
appelle,call,249
quelques,some,250
faites,done,251
partir,to leave,252
vite,quickly,253
arrête,stopped,254
seule,alone,255
serait,would,256
voiture,car,257
enfants,kids,258
tuer,to kill,259
merde,shit,260
hé,Hey,261
pendant,during,262
idée,idea,263
chance,luck,264
parle,speak,265
aurait,would have,266
part,go,267
elles,they,268
jours,days,269
grand,big,270
aujourd'hui,today,271
venir,to come,272
ami,friend,273
demain,tomorrow,274
hein,eh,275
tard,late,276
puis,then,277
truc,thing,278
passer,to pass,279
petite,small,280
tant,so much,281
connais,know,282
combien,How many,283
mec,guy,284
sens,senses,285
pouvez,can,286
porte,carries,287
sortir,exit,288
super,Great,289
heure,time,290
contre,vs,291
coup,blow,292
comprends,understand,293
entendu,understood,294
vient,come,295
allons,lets go,296
ensemble,together,297
nouveau,new,298
amour,love,299
importe,imported,300
sang,blood,301
désolée,sorry,302
cas,case,303
sous,under,304
rester,to stay,305
amis,friends,306
prends,take,307
fini,finished,308
hommes,men,309
tué,kill,310
question,question,311
partie,part,312
histoire,story,313
devrais,should,314
aide,aid,315
dernière,last,316
demande,demand,317
chercher,to look for,318
pensais,thought,319
genre,kind,320
seulement,only,321
police,police,322
car,because,323
mois,month,324
frère,brother,325
laisser,to leave,326
aucun,any,327
mettre,to put,328
eux,them,329
laisse,leave alone,330
chaque,each,331
ville,town,332
arrivé,come,333
devrait,should,334
parlé,speak,335
avez-vous,have you got,336
vont,are going,337
longtemps,long time,338
aucune,any,339
heures,time,340
bébé,baby,341
place,square,342
revoir,meet again,343
putain,whore,344
compris,understood,345
ni,or,346
savais,knew,347
leurs,their,348
étaient,were,349
attention,Warning,350
donner,to give,351
affaire,case,352
endroit,place,353
pourrais,could,354
corps,body,355
façon,way,356
donné,given,357
est-il,is it,358
voici,here is,359
train,train,360
dont,of which,361
écoute,listen,362
yeux,eyes,363
trouve,find,364
pouvoir,power,365
type,type,366
perdu,lost,367
premier,first,368
première,first,369
côté,side,370
point,point,371
tellement,such,372
main,hand,373
tiens,take,374
sois,be,375
enfant,child,376
vieux,old,377
matin,morning,378
venu,came,379
pardon,sorry,380
là-bas,the low,381
suite,continued,382
vers,towards,383
minutes,minutes,384
demandé,demand,385
venez,come,386
devant,before,387
dr,drudgery,388
enfin,finally,389
arrêter,Stop,390
cause,cause,391
nouvelle,New,392
attendez,wait,393
chambre,bedroom,394
droit,law,395
parti,left,396
mis,put,397
eau,water,398
compte,account,399
dirait,would say,400
terre,Earth,401
belle,beautiful,402
espère,hope,403
aimerais,would like to,404
loin,far,405
as-tu,do you have,406
mari,husband,407
donne,given,408
fin,end,409
croire,to believe,410
mme,Mrs,411
aura,will have,412
gros,fat,413
boulot,gig,414
plutôt,rather,415
chérie,Dear,416
prêt,ready,417
filles,girls,418
bureau,office,419
mourir,pass away,420
hier,yesterday,421
possible,possible,422
jouer,player,423
demander,request,424
celui,the one,425
voulait,wanted to,426
beau,handsome,427
jeune,young,428
euh,uh,429
dehors,outside,430
docteur,doctor,431
a-t-il,does he have,432
confiance,trust,433
appeler,to call,434
années,years,435
vérité,truth,436
école,school,437
chef,chief,438
femmes,women,439
propos,about,440
semaine,week,441
vivre,to live,442
regardez,look,443
feu,fire,444
journée,daytime,445
madame,Mrs,446
hey,hey,447
téléphone,telephone,448
près,close,449
affaires,business,450
meilleur,better,451
devez,must,452
dessus,above,453
mains,hands,454
penses,thoughts,455
prie,pray,456
équipe,team,457
vas-y,go ahead,458
grande,big,459
manger,to eat,460
arriver,to arrive,461
dur,hard,462
guerre,war,463
ait,have,464
appelé,called,465
marche,walk,466
sécurité,security,467
garçon,boy,468
essaie,trial,469
important,important,470
dites,say,471
exactement,exactly,472
font,make,473
fort,strong,474
presque,almost,475
plein,full,476
derrière,behind,477
ben,ben,478
mariage,marriage,479
parents,parents,480
capitaine,captain,481
dernier,last,482
fou,crazy,483
ceux,those,484
tomber,to fall,485
attendre,expect,486
vue,view,487
pensé,think,488
souviens,remember,489
envie,desire,490
fête,Party,491
jeu,Game,492
génial,awesome,493
pays,country,494
garde,keep,495
cours,Classes,496
bientôt,soon,497
ii,ii,498
numéro,number,499
personnes,people,500
cinq,five,501
parfait,perfect,502
excusez-moi,excuse me,503
laissé,leave alone,504
ainsi,so,505
retour,return,506
semble,seems,507
autant,so much,508
peine,sadness,509
minute,minute,510
essayé,try,511
plan,plan,512
instant,instant,513
serai,will be,514
prison,jail,515
penser,think,516
essayer,to try,517
prend,take,518
arme,armed,519
mauvais,Wrong,520
mot,word,521
travailler,to work,522
quatre,four,523
rentrer,to return,524
regarder,look,525
choix,choice,526
êtes-vous,Are you,527
parfois,sometimes,528
film,movie,529
abord,on board,530
voyez,see,531
faute,mistake,532
facile,easy,533
croyais,believed,534
bas,low,535
changer,change,536
entendre,to hear,537
plaisir,pleasure,538
heureux,happy,539
entrer,enter,540
voudrais,would like,541
es-tu,are you,542
propre,own,543
étiez,Were you,544
tour,tower,545
fera,will do,546
ensuite,then,547
garder,keep,548
agent,agent,549
allait,was going to,550
lit,bed,551
travaille,work,552
adore,adore,553
amie,friend,554
rendre,to return,555
allons-y,Let's go,556
route,road,557
lieu,location,558
année,year,559
voit,sees,560
commence,start,561
service,service,562
devoir,Homework,563
attend,waits,564
drôle,funny,565
difficile,difficult,566
sûre,safe,567
pire,worse,568
pos,pos,569
peuvent,can,570
sujet,topic,571
état,state,572
ceci,this,573
impossible,impossible,574
sorte,sort,575
perdre,to lose,576
dollars,dollars,577
voulu,desired,578
morte,dead,579
ira,IRA,580
faisait,made,581
bizarre,bizarre,582
oublié,forget it,583
arrêtez,stop,584
ferai,do,585
serais,would be,586
tôt,early,587
inquiète,worry,588
payer,pay,589
coeur,heart,590
dès,from,591
pouvais,could,592
reviens,come back,593
chien,dog,594
suffit,suffice,595
prenez,take,596
pensez,think,597
café,Coffee,598
calme,calm,599
cherche,look for,600
montrer,to show,601
parles,parlets,602
photo,Photo,603
ferme,closed,604
problèmes,problems,605
the,tea,606
cœur,heart,607
sûrement,surely,608
verre,glass,609
aimes,aime,610
devons,must,611
veulent,want,612
doute,doubt,613
musique,music,614
courant,running,615
sauf,except,616
moyen,Medium,617
nouvelles,news,618
puis-je,can I,619
avis,opinion,620
sauver,to save,621
hôpital,hospital,622
questions,Questions,623
meurtre,murder,624
sérieux,serious,625
seconde,second,626
trucs,tricks,627
comprendre,to understand,628
allais,went,629
esprit,spirit,630
cool,cool,631
mlle,Ms,632
marché,Marlet,633
fous,crazy,634
laisse-moi,leave me,635
haut,high,636
salle,Hall,637
malade,sick,638
changé,exchange,639
gentil,kind,640
allé,go,641
six,six,642
simple,simple,643
john,john,644
semaines,weeks,645
celle,that,646
jack,jack,647
appris,learned,648
seigneur,Lord,649
dîner,having dinner,650
sors,go outside,651
commencé,start,652
suppose,Assumed,653
chemin,path,654
partout,everywhere,655
bras,arms,656
cul,ass,657
prochaine,next,658
visage,face,659
h,h,660
meilleure,best,661
face,face,662
soirée,evening,663
roi,King,664
surtout,Above all,665
retard,delay,666
écrit,writing,667
livre,delivered,668
rapport,report,669
chéri,Dear,670
message,message,671
voulez-vous,Do you want to,672
vaut,worth,673
ferais,make,674
morts,dead,675
boire,drink,676
soyez,be,677
président,President,678
plait,pleasant,679
bois,wood,680
sinon,otherwise,681
erreur,error,682
new,new,683
ecoute,listen,684
mr,mr,685
rentre,go home,686
rendez-vous,appointment,687
devait,be,688
revenir,return,689
joue,play,690
pauvre,poor,691
devenir,to become,692
s,s,693
rencontrer,meet,694
sort,fate,695
commencer,to start,696
pouvait,could,697
occupe,to keep busy,698
entends,mean,699
souvent,often,700
pièce,room,701
reçu,received,702
grave,serious,703
mets,dish,704
intérieur,interior,705
honneur,honor,706
dormir,to sleep,707
an,year,708
faux,false,709
messieurs,gentlemen,710
groupe,group,711
rêve,dream,712
carte,map,713
aviez,had,714
appel,call,715
manque,lack,716
envoyé,sent,717
début,start,718
sam,sat,719
puisse,can,720
écoutez,Listen,721
laissez-moi,let me,722
bonsoir,good evening,723
content,happy,724
secret,secret,725
venue,come,726
cher,Dear,727
dis-moi,tell me,728
effet,effect,729
voyons,Let's see,730
sac,bag,731
continue,keep on going,732
acheter,to buy,733
voix,voice,734
certains,some,735
occuper,to occupy,736
noël,Christmas,737
gagner,to earn,738
grâce,Grace,739
maître,master,740
prix,price,741
mauvaise,nad,742
général,general,743
âge,age,744
long,long,745
rue,Street,746
tirer,shoot,747
apprendre,to learn,748
cheveux,hair,749
noir,black,750
promis,promised,751
avaient,had,752
patron,boss,753
avocat,attorney,754
force,strength,755
accident,accident,756
dix,ten,757
probablement,probably,758
laissez,let,759
bout,end,760
ordre,order,761
armes,weapons,762
cru,believed,763
déteste,hated,764
retrouver,to regain,765
millions,millions,766
incroyable,incredible,767
voyage,travel,768
ailleurs,elsewhere,769
oublie,forget it,770
ressemble,looks like,771
bienvenue,welcome,772
disparu,faded away,773
protéger,protect,774
utiliser,use,775
situation,situation,776
petits,small,777
aurai,will have,778
veux-tu,do you want,779
connaissez,know,780
simplement,simply,781
scène,scene,782
sœur,sister,783
prête,ready,784
oncle,uncle,785
devriez,should,786
liste,listing,787
soeur,sister,788
complètement,completely,789
dos,back,790
armée,army,791
paix,peace,792
battre,to beat,793
york,york,794
crime,crime,795
anniversaire,birthday,796
finir,to finish,797
réussi,succeeded,798
agit,act,799
i,I,800
retourner,to return to,801
sale,dirty,802
libre,free,803
bouge,move,804
contrôle,control,805
rappelle,remember,806
arrêté,stopped,807
hôtel,hotel,808
idiot,idiot,809
okay,okay,810
rencontré,meet,811
restez,STAY,812
absolument,absoutely,813
mots,words,814
victime,victim,815
impression,impression,816
décidé,decided,817
sympa,nice,818
pars,pars,819
fasse,do,820
avion,plane,821
bordel,mess,822
habitude,habit,823
table,table,824
rouge,Red,825
système,system,826
photos,Pictures,827
médecin,doctor,828
seras,be,829
bateau,boat,830
stupide,dumb,831
faim,hunger,832
autour,around,833
fond,fund,834
surprise,surprise,835
croyez,believe,836
devais,guess,837
ligne,line,838
porter,carry,839
imagine,conceived,840
colère,anger,841
clair,clear,842
seront,will be,843
savait,knew,844
balle,ball,845
gagné,won,846
or,gold,847
hors,except,848
magnifique,magnificent,849
risque,risk,850
terminé,ended,851
su,su,852
heureuse,happy,853
mission,mission,854
jolie,pretty one,855
parlez,speak,856
présent,here,857
sorti,got out,858
cadeau,gift,859
expliquer,to explain,860
volé,Fly,861
plusieurs,various,862
gauche,left,863
ferait,would do,864
neuf,new,865
passe-t-il,does he go,866
ouvre,opened,867
disais,ray,868
dedans,inside,869
disent,say,870
pouvons,can,871
allez-y,Go for it,872
suivre,to follow,873
pourra,may,874
inspecteur,inspector,875
réponse,response,876
lumière,light,877
pieds,feet,878
pote,mate,879
montre,show,880
pied,foot,881
marcher,to walk,882
charlie,Charlie,883
auras,auras,884
envoyer,send,885
vraie,true,886
espèce,species,887
doivent,have to,888
allô,Hello,889
pareil,the same,890
vas-tu,go,891
soleil,Sun,892
camp,camp,893
fallait,fell,894
coin,corner,895
ignore,ignore,896
moitié,half,897
you,you,898
selon,according to,899
tenir,hold,900
grosse,big,901
vouloir,want to,902
michael,Michael,903
vieille,old woman,904
devenu,to have become,905
continuer,Continue,906
rend,make,907
sortie,exit,908
recherche,research,909
arrière,back,910
lire,read,911
doucement,gently,912
joli,attractive,913
avance,advance,914
exact,exact,915
disait,said,916
club,club,917
arrivée,arrival,918
tue,kill,919
laquelle,which,920
poser,to pose,921
chaud,hot,922
aimé,like,923
david,david,924
fais-tu,do you,925
tom,tom,926
professeur,professor,927
quitter,leave,928
loi,law,929
tueur,killer,930
donne-moi,give me,931
flics,flickers,932
connaître,to know,933
lettre,letter,934
forme,form,935
connaît,know,936
conseil,advice,937
bar,bar,938
normal,normal,939
danger,danger,940
dangereux,dangerous,941
folle,crazy,942
jure,sworn,943
tiré,drawn,944
essaye,try,945
bonnes,good,946
offre,offer,947
but,goal,948
froid,cold,949
allez-vous,Come on,950
prêts,loans,951
tranquille,calm,952
gamin,kid,953
joe,joe,954
classe,class,955
joué,play,956
poste,job,957
con,con,958
mike,mike,959
attaque,attack,960
boîte,box,961
enquête,investigation,962
visite,visit,963
juge,judge,964
moi-même,myself,965
bord,edge,966
debout,upright,967
envoie,send,968
preuve,evidence,969
oublier,to forget,970
bons,good,971
vivant,living,972
ciel,sky,973
lu,read,974
touche,hit,975
aimer,to like,976
faites-vous,do,977
télé,TV,978
met,put,979
écouter,to listen,980
serez,will be,981
ll,ll,982
pourtant,yet,983
change,exchange,984
triste,sad,985
droite,law,986
gueule,mouth,987
tombe,grave,988
sentir,feel,989
ouvrir,open,990
travers,through,991
santé,health,992
dossier,case,993
ie,ie,994
jeunes,youth,995
frank,frank,996
coucher,to sleep,997
cuisine,food,998
monte,mounted,999
pouvez-vous,can you,1000
signifie,mean,1001
entrez,Come in,1002
relation,relationship,1003
centre,center,1004
dame,lady,1005
chacun,each,1006
chanson,song,1007
foutre,cum,1008
voler,steal,1009
blanc,White,1010
george,george,1011
certain,certain,1012
don,Don,1013
âme,soul,1014
manière,manner,1015
flic,cop,1016
décision,decision,1017
mange,eat,1018
vit,lives,1019
compagnie,company,1020
déjeuner,lunch,1021
différent,different,1022
tire,drawn,1023
ordres,orders,1024
clé,key,1025
vaisseau,vessel,1026
secondes,seconds,1027
enfer,hell,1028
sortez,go out,1029
vendre,to sell,1030
faisais,made,1031
responsable,responsible,1032
mecs,guys,1033
nulle,nothing,1034
signe,sign,1035
lieutenant,lieutenant,1036
aille,shake,1037
acheté,bought,1038
étrange,strange,1039
diable,Devil,1040
viennent,are coming,1041
monter,ascend,1042
là-dedans,in there,1043
l,I,1044
capable,able,1045
emmener,bring,1046
écrire,to write,1047
honte,shame,1048
bouche,stuffy,1049
préfère,favorite,1050
coupable,guilty,1051
rire,to laugh,1052
payé,paid,1053
soin,care,1054
milieu,environment,1055
appartement,apartment,1056
prochain,next,1057
cerveau,brain,1058
paris,Paris,1059
m,m,1060
blague,joke,1061
choisi,selected,1062
époque,era,1063
aurez,will have,1064
voie,way,1065
réunion,meeting,1066
connu,known,1067
allée,alley,1068
intérêt,interest,1069
cheval,horse,1070
combat,fight,1071
silence,silence,1072
coups,shots,1073
existe,exist,1074
ia,IA,1075
retourne,return,1076
tel,Phone,1077
trou,hole,1078
public,public,1079
peter,to fart,1080
oeil,eye,1081
pleine,full,1082
cacher,hide,1083
amoureux,lover,1084
drogue,drug,1085
commandant,commanding officer,1086
garçons,boys,1087
faisons,Let's do,1088
paul,paul,1089
n,not,1090
tient,is holding,1091
est-elle,is she,1092
prise,socket,1093
gouvernement,government,1094
dirai,say,1095
client,customer,1096
adresse,address,1097
journal,newspaper,1098
contact,contact,1099
dingue,crazy,1100
sent,feel,1101
récupérer,to recover,1102
base,based,1103
preuves,evidence,1104
présente,present,1105
peau,skin,1106
servir,to serve,1107
peuple,people,1108
exemple,example,1109
fiche,form,1110
max,max,1111
promets,promises,1112
lequel,which,1113
blessé,hurt,1114
c,vs,1115
société,society,1116
tort,wrong,1117
sept,seven,1118
pourriez,could,1119
savent,know,1120
ouvert,open,1121
héros,hero,1122
menti,lie,1123
mer,Wed,1124
contente,satisfied,1125
quitté,quits,1126
jeter,to throw,1127
sauvé,Safe,1128
bière,beer,1129
assis,seated,1130
robe,dress,1131
ecoutez,Listen,1132
devient,bECOMES,1133
félicitations,congratulations,1134
opération,transaction,1135
prévu,foreseen,1136
fut,was,1137
tenez,hold,1138
livres,books,1139
répondre,to respond,1140
seuls,only,1141
pute,whore,1142
entrée,Entrance,1143
vol,flight,1144
horrible,horrible,1145
vin,wine,1146
dommage,shame,1147
dites-moi,tell me,1148
auriez,would have,1149
colonel,colonel,1150
ramener,to bring back,1151
règles,rules,1152
nez,nose,1153
justice,justice,1154
fbi,FBI,1155
découvert,discovered,1156
départ,departure,1157
bruit,noise,1158
secours,rescue,1159
vérifier,to verify,1160
enceinte,pregnant,1161
mise,betting,1162
témoin,witness,1163
dirais,would say,1164
directeur,director,1165
intéressant,interesting,1166
excuse,excuse,1167
environ,about,1168
t,t,1169
inutile,useless,1170
terrible,terrible,1171
danse,dance,1172
position,position,1173
humain,human,1174
apparemment,apparently,1175
avenir,to come up,1176
rêves,dream,1177
œil,eye,1178
bête,beast,1179
sérieusement,seriously,1180
bravo,well done,1181
approche,approach,1182
nourriture,food,1183
fric,money,1184
plupart,mostly,1185
lycée,high school,1186
tas,tas,1187
empêcher,to prevent,1188
longue,long,1189
sexe,sex,1190
niveau,level,1191
banque,Bank,1192
éviter,to avoid,1193
étions,were,1194
lune,moon,1195
pitié,pity,1196
liberté,freedom,1197
expérience,experience,1198
procès,trial,1199
radio,radio,1200
hum,hum,1201
verra,will see,1202
thé,tea,1203
partez,go out,1204
utilisé,used,1205
mur,Wall,1206
pose,pose,1207
revenu,income,1208
deuxième,second,1209
bande,bandaged,1210
asseyez-vous,Sit down,1211
certaines,some,1212
ridicule,ridiculous,1213
nord,North,1214
appelez,call,1215
copine,friend,1216
baiser,kiss,1217
anglais,English,1218
henry,Henry,1219
toilettes,bathroom,1220
portes,doors,1221
faudra,will have,1222
occupé,busy,1223
grands,great,1224
and,and,1225
dérange,disturbs,1226
rôle,role,1227
censé,supposed,1228
savez-vous,do you know,1229
james,James,1230
reine,Queen,1231
croit,believer,1232
cour,court,1233
église,church,1234
vide,empty,1235
obtenir,to obtain,1236
conneries,bullshit,1237
ennuis,trouble,1238
personnel,staff,1239
conduire,to drive,1240
tombé,grave,1241
sol,ground,1242
code,coded,1243
huit,eight,1244
avions,planes,1245
espoir,hope,1246
comprenez,understand,1247
spécial,special,1248
vidéo,video,1249
vêtements,clothes,1250
défense,defense,1251
alex,alex,1252
sud,South,1253
grand-mère,Grandmother,1254
match,match,1255
bombe,bomb,1256
intéresse,interested,1257
zone,zoned,1258
tante,aunt,1259
paraît,appear,1260
excuser,excuse,1261
magasin,store,1262
marier,marry,1263
chère,Dear,1264
aie,Ouch,1265
souvenir,memory,1266
proche,close,1267
revient,come back,1268
danny,danny,1269
douleur,pain,1270
arrivera,to arrive at,1271
presse,hurry,1272
merveilleux,marvellous,1273
asseoir,Sit,1274
ravi,delighted,1275
aimais,liked,1276
h.,h.,1277
amérique,America,1278
fenêtre,window,1279
mien,mine,1280
terrain,ground,1281
sergent,sergeant,1282
peux-tu,can you,1283
projet,project,1284
quartier,district,1285
planète,planet,1286
certainement,certainly,1287
rapide,quick,1288
lorsque,when,1289
assurer,to assure,1290
rendu,rendering,1291
mignon,cute,1292
tourne,turned,1293
danser,to dance,1294
bob,bob,1295
clients,clients,1296
petites,small,1297
aimez,like,1298
présenter,to present,1299
importance,importance,1300
venus,Venus,1301
jimmy,jimmy,1302
sache,know,1303
mérite,deserved,1304
machine,machine,1305
derniers,last,1306
programme,program,1307
mesdames,ladies,1308
meilleurs,best,1309
honnête,honest,1310
essayez,try,1311
irai,Irai,1312
connard,asshole,1313
occasion,occasion,1314
prouver,to prove,1315
travaillé,work,1316
glace,ice cream,1317
ayez,have,1318
parie,parity,1319
camion,truck,1320
fier,proud,1321
discuter,to discuss,1322
village,town,1323
spectacle,spectacle,1324
d,d,1325
nul,bad,1326
rose,pink,1327
touché,touch,1328
mangé,eat,1329
vis,screw,1330
parole,speech,1331
rencontre,meet,1332
apprécie,appreciate,1333
jane,Jane,1334
réalité,reality,1335
savons,soaps,1336
respect,respect,1337
remettre,to put back,1338
vacances,vacation,1339
détruire,destroy,1340
choisir,Choose,1341
ha,Ha,1342
découvrir,discover,1343
idées,ideas,1344
officier,officer,1345
frères,brothers,1346
sert,serve,1347
bill,bill,1348
solution,solution,1349
informations,information,1350
attendais,expected,1351
monstre,monster,1352
sexy,sexy,1353
ordinateur,computer,1354
retrouvé,found,1355
nature,nature,1356
rappeler,recall,1357
énergie,energy,1358
pierre,rock,1359
utilise,use,1360
pression,pressure,1361
chaussures,shoes,1362
faite,done,1363
histoires,stories,1364
sarah,sarah,1365
marié,married,1366
espace,space,1367
soient,are,1368
nick,nick,1369
portable,portable,1370
préparer,to prepare,1371
nécessaire,necessary,1372
court,short,1373
offrir,to offer,1374
will,will,1375
ai-je,have I got,1376
tony,tony,1377
envers,towards,1378
bain,bath,1379
charge,charged,1380
mary,Mary,1381
harry,harry,1382
jim,jim,1383
ennemi,enemy,1384
arrivent,arrive,1385
immédiatement,immediately,1386
finalement,ultimately,1387
énorme,huge,1388
grand-père,grandfather,1389
test,test,1390
gagne,wins,1391
réfléchir,think,1392
victimes,victims,1393
chanter,to sing,1394
futur,future,1395
lâche,cowardly,1396
mademoiselle,miss,1397
copain,boyfriend,1398
enlever,to remove,1399
pensez-vous,Do you think,1400
retrouve,found,1401
épouser,marry,1402
fleurs,flowers,1403
salope,slut,1404
aies,have,1405
gosse,kid,1406
arranger,arrange,1407
riche,rich,1408
faits,fact,1409
ancien,old,1410
stop,stop,1411
accepter,accept,1412
restes,remains,1413
nouveaux,new,1414
sauter,to jump,1415
suspect,suspect,1416
vies,lives,1417
durant,during,1418
invité,invited,1419
politique,Politics,1420
dents,teeth,1421
patient,patient,1422
repas,meal,1423
urgence,emergency,1424
cartes,cards,1425
jambes,legs,1426
conversation,conversation,1427
telle,such,1428
bus,bus,1429
to,to,1430
tourner,turn,1431
toucher,to touch,1432
mémoire,memory,1433
série,series,1434
mariée,married,1435
contraire,contrary,1436
vent,wind,1437
taille,cut,1438
donnez-moi,Give me,1439
trouves,found,1440
celui-là,that one,1441
chat,cat,1442
continuez,continue,1443
contrat,contract,1444
couteau,knife,1445
double,double,1446
dure,tough,1447
carrière,career,1448
excuse-moi,excuse me,1449
ray,ray,1450
regardé,look at,1451
descendre,go down,1452
université,university,1453
sentiments,feelings,1454
papier,paper,1455
remarqué,remark,1456
noms,names,1457
vécu,lived,1458
courage,courage,1459
beauté,beauty,1460
bu,drank,1461
tais-toi,Shut up,1462
après-midi,afternoon,1463
excellent,excellent,1464
assieds-toi,Sit down,1465
richard,richard,1466
propres,unclear,1467
parmi,among,1468
forte,strong,1469
étant,being,1470
couple,couple,1471
aiment,like,1472
permis,license,1473
différence,difference,1474
faudrait,we should,1475
course,race,1476
humains,humans,1477
dégage,clear,1478
mille,thousand,1479
accès,access,1480
cible,target,1481
joyeux,joyful,1482
bonheur,happiness,1483
aimait,liked,1484
manqué,lack,1485
action,action,1486
steve,steve,1487
aidé,aid,1488
vouliez,wanted,1489
trouvez,find,1490
films,movies,1491
emmène,take,1492
marie,married,1493
taxi,Taxi,1494
restaurant,restaurant,1495
crise,crisis,1496
piste,track,1497
dernières,last,1498
puisque,because,1499
blanche,White,1500
coupe,chopped off,1501
secrets,secret,1502
prince,prince,1503
marrant,funny,1504
raisons,reasons,1505
refuse,refuse,1506
apporté,brought,1507
cassé,broken,1508
lors,during,1509
mettez,put,1510
dis-lui,tell him,1511
tuée,killed,1512
maladie,disease,1513
mienne,mine,1514
rentré,go home,1515
week-end,weekend,1516
excuses,excuses,1517
km,km,1518
alcool,alcohol,1519
voudrait,would like,1520
fil,wire,1521
rends,make,1522
quitte,quits,1523
couché,layer,1524
disons,let's say,1525
totalement,totally,1526
claire,Claire,1527
it,it,1528
londres,London,1529
remercier,to thank,1530
mêmes,true,1531
partis,gone,1532
pensait,thought,1533
île,Isle,1534
tommy,Tommy,1535
remercie,thank,1536
caméra,camera,1537
pensent,think,1538
suis-je,am I,1539
pleurer,to cry,1540
régler,adjust,1541
ouvrez,open,1542
entier,whole,1543
foutu,fucked,1544
types,guys,1545
fermer,close,1546
animaux,animals,1547
dise,say,1548
image,picture,1549
étage,stage,1550
rejoindre,to rejoin,1551
soldats,soldiers,1552
amuser,amuse,1553
points,points,1554
suivi,monitoring,1555
oubliez,forget,1556
langue,language,1557
direction,direction,1558
frais,costs,1559
veuillez,please,1560
miss,miss,1561
soldat,soldier,1562
couleur,color,1563
bouger,to move,1564
frappé,hit,1565
frapper,to hit,1566
venait,came,1567
raté,missed,1568
évidemment,obviously,1569
sacré,sacred,1570
clés,keys,1571
mentir,lie,1572
épouse,spouse,1573
troisième,third,1574
johnny,johnny,1575
amy,amy,1576
