ES,English,Popularity
tenías,You had,786
viste,dresses,787
oficial,official,788
llegó,I arrive,789
compañía,company,790
relación,relationship,791
conoce,known,792
pase,happens,793
montón,heap,794
mejores,top,795
creí,I believed.,796
cena,Dinner,797
sentir,feel,798
través,through,799
accidente,accident,800
i,I.,801
ellas,they,802
caja,cash register,803
tranquilo,quiet,804
bonito,nice,805
eras,ages,806
asi,So,807
pudo,he could,808
vive,it lives,809
vista,view,810
estúpido,stupid,811
línea,line,812
caballeros,gentlemen,813
haremos,will,814
dan,Dan.,815
quédate,stay,816
tienda,shop,817
comprar,to buy,818
entendido,understood,819
centro,center,820
salvo,except,821
mes,month,822
joe,Joe.,823
sol,Sun,824
tonto,fool,825
hambre,hunger,826
michael,Michael,827
mesa,desk,828
respuesta,answer,829
completamente,completely,830
david,David,831
carta,letter,832
totalmente,completely,833
imposible,impossible,834
pruebas,tests,835
novio,boyfriend,836
normal,normal,837
gustan,like,838
frank,Frank.,839
pude,I could,840
charlie,Charlie.,841
traje,suit,842
dirección,address,843
siete,seven,844
dijeron,they said,845
placer,pleasure,846
sean,Sean.,847
tendrá,will have,848
barco,ship,849
blanco,White,850
tom,Tom.,851
profesor,Professor,852
servicio,service,853
muchacho,young guy,854
reunión,meeting,855
dejado,left,856
ley,law,857
quisiera,I would like,858
hubo,was,859
george,George.,860
programa,Program,861
carrera,career,862
cumpleaños,birthday,863
muchachos,Boys,864
culo,ass,865
canción,song,866
hermosa,beautifull,867
universidad,college,868
boda,wedding,869
decirme,tell me,870
cualquiera,anyone,871
tengas,You have,872
hacía,toward,873
estés,Bene,874
sala,Hall,875
llevo,I wear,876
decisión,decision,877
espere,Wait,878
don,Don,879
necesario,necessary,880
sal,Salt,881
entra,enters,882
prisa,rush,883
carajo,Carajo.,884
embargo,embargo,885
interesante,interesting,886
tendrás,you will have,887
escuchar,hear,888
abuela,Grandma,889
hicieron,they made,890
detective,detective,891
horrible,horrible,892
suelo,ground,893
fotos,photos,894
cárcel,jail,895
acá,here,896
io,io.,897
mike,Mike.,898
siéntate,Sit down,899
decía,He said,900
intentando,trying,901
vámonos,Let's go,902
maldición,curse,903
silencio,be quiet,904
muerta,dead,905
capaz,capable,906
salió,he left,907
club,club,908
terminar,end up,909
temo,fear,910
broma,joke,911
gobierno,government,912
prometo,I promise,913
cámara,camera,914
media,half,915
terrible,terrible,916
llamó,I call,917
regalo,present,918
amable,nice,919
dulce,sweet,920
muertos,dead,921
querías,You wanted,922
ataque,attack,923
das,you give,924
navidad,Christmas,925
negocios,business,926
pudiera,I could,927
ocho,eight,928
avión,airplane,929
investigación,research,930
acabó,just,931
juro,Juro.,932
mantener,keep,933
ejército,army,934
papel,paper,935
partes,Parties,936
ten,Ten.,937
gracioso,funny,938
diría,would say,939
principio,beginning,940
delante,in front,941
teniente,lieutenant,942
deseo,desire,943
vayas,Vayas.,944
nave,ship,945
sale,comes out,946
basura,trash,947
vine,came,948
contacto,Contact,949
esposo,husband,950
tren,train,951
encontramos,we find,952
dale,Go ahead,953
verdadero,real,954
tuya,yours,955
alma,soul,956
hazlo,do it,957
disculpa,sorry,958
junto,together,959
anda,Anda,960
tendré,I will have,961
matrimonio,marriage,962
saberlo,Know it,963
locura,craziness,964
oro,gold,965
permiso,permit,966
director,director,967
peligro,danger,968
libertad,Liberty,969
alegro,glad,970
baja,short,971
tendremos,we will have,972
derecha,right,973
encuentra,find,974
pies,feet,975
segunda,second,976
maravilloso,marvelous,977
espacio,space,978
rato,a while,979
abuelo,Grandpa,980
esperaba,I expected,981
mirando,looking,982
salud,Health,983
sorpresa,surprise,984
ninguno,neither,985
miren,Look,986
triste,sad,987
aun,yet,988
pensado,thought-out,989
maestro,teacher,990
según,according,991
infierno,hell,992
podrían,could,993
tipos,types,994
tía,aunt,995
crimen,crime,996
conocido,known,997
consejo,tip,998
ante,in view of,999
iglesia,church,1000
intento,tried,1001
mayoría,most,1002
doy,give,1003
peter,Peter,1004
hicimos,we did,1005
escena,scene,1006
piso,flat,1007
señal,sign,1008
honor,honor,1009
llamas,calls,1010
abre,opens,1011
cerebro,brain,1012
veras,you will see,1013
viendo,watching,1014
pone,places,1015
pregunto,I ask,1016
cocina,kitchen,1017
vestido,dress,1018
inteligente,smart,1019
vieja,old,1020
caballo,horse,1021
vienen,they come,1022
vidas,Lives,1023
bar,Pub,1024
corte,court,1025
sucedió,It happened,1026
adentro,inside,1027
drogas,Drugs,1028
enseguida,right away,1029
busca,search,1030
agradable,nice,1031
carne,meat,1032
parecía,looked like,1033
departamento,Department,1034
lindo,cute,1035
mar,sea,1036
duda,doubt,1037
edificio,edifice,1038
conocer,know,1039
cargo,post,1040
víctima,victim,1041
luna,Moon,1042
energía,Energy,1043
frío,cold,1044
hablo,talked,1045
baile,dance,1046
trabaja,works,1047
misión,mission,1048
listos,ready,1049
ayudarte,help you,1050
izquierda,left,1051
paul,Paul,1052
beber,to drink,1053
deje,leave,1054
finalmente,Finally,1055
simple,simple,1056
daré,I will give,1057
sabías,You knew,1058
puedas,can,1059
puso,put,1060
creía,He believed.,1061
regresar,to return,1062
llega,arrives,1063
entender,understand,1064
mirar,look,1065
sacar,take,1066
cambiado,changed,1067
trae,Bring,1068
hermoso,handsome,1069
opinión,opinion,1070
verás,you will see,1071
linda,pretty,1072
apenas,barely,1073
segundos,seconds,1074
cerveza,beer,1075
harás,you will do,1076
estuviera,I was,1077
creen,Creen.,1078
oír,hear,1079
tendría,would have,1080
cuántos,how many,1081
hablado,spoken,1082
hablamos,We speak,1083
reina,Queen,1084
temprano,early,1085
tema,theme,1086
prisión,prison,1087
porqué,because,1088
vuelva,Return,1089
público,public,1090
ocurrió,occurred,1091
veré,I will see,1092
salvar,save,1093
partido,match,1094
bonita,pretty,1095
joder,fuck,1096
causa,cause,1097
caliente,hot,1098
sargento,sergeant,1099
cenar,have dinner,1100
compañero,companion,1101
llevó,I wear,1102
banco,Bank,1103
existe,exists,1104
ben,Ben.,1105
zona,zone,1106
destino,destination,1107
base,base,1108
solía,used to,1109
cliente,client,1110
irse,leave,1111
perra,female dog,1112
james,James,1113
encuentro,meeting,1114
encontró,he found,1115
pelea,Fight,1116
san,saint,1117
norte,North,1118
quise,I wanted,1119
coronel,colonel,1120
apuesto,handsome,1121
peligroso,dangerous,1122
viva,live,1123
max,Max.,1124
vienes,you come,1125
necesitan,Need,1126
té,tea,1127
excepto,except,1128
juicio,judgment,1129
podamos,We can,1130
llave,wrench,1131
equivocado,wrong,1132
posición,position,1133
trasero,rear,1134
irnos,weaken,1135
espalda,back,1136
excelente,Excellent,1137
éxito,success,1138
modos,modes,1139
ventana,window,1140
veamos,let's see,1141
especie,species,1142
teníamos,we had,1143
diferencia,difference,1144
formas,shapes,1145
pedir,ask for,1146
últimos,last.,1147
escúchame,listen to me,1148
ejemplo,example,1149
ése,that,1150
radio,radio,1151
lee,read,1152
calma,Calm down,1153
hogar,home,1154
volveré,I will be back,1155
fondo,background,1156
humano,human,1157
henry,Henry,1158
tí,you,1159
iremos,we'll go,1160
unidos,joined,1161
habían,They had,1162
jesús,Jesus,1163
planeta,planet,1164
verme,see me,1165
respecto,respect,1166
regreso,Return,1167
debido,due,1168
seré,I will be,1169
tenían,They had,1170
leer,read,1171
parar,stop,1172
lleno,full,1173
dejé,leave,1174
respeto,I respect,1175
debajo,below,1176
harry,Harry.,1177
escribir,to write,1178
estación,station,1179
pidió,requested,1180
alta,high,1181
pista,clue,1182
estrella,star,1183
enfermo,sick,1184
duele,it hurt,1185
sueños,Dreams,1186
veremos,we will see,1187
miles,Thousands,1188
darme,give me,1189
órdenes,Orders,1190
ocupado,occupied,1191
sigues,are you still,1192
corre,runs,1193
podido,I have,1194
dejes,Leaves,1195
nivel,level,1196
habéis,You have,1197
experiencia,experience,1198
darte,to give you,1199
salida,Exit,1200
decirlo,To say it,1201
confiar,trust,1202
hacerte,Make yourself,1203
necesitaba,needed,1204
hermanos,siblings,1205
zapatos,shoes,1206
color,Colour,1207
vistazo,glance,1208
nena,Chick,1209
tratar,treat,1210
parecer,seem,1211
juez,judge,1212
próximo,next,1213
paciente,patient,1214
hayas,Hayas,1215
bolsa,bag,1216
arte,art,1217
mary,Mary.,1218
jugando,Playing,1219
llevas,Wearing,1220
alegra,happy,1221
bailar,dance,1222
diablo,Devil,1223
oí,I heard,1224
sepa,sepa,1225
estarás,You will be there,1226
sur,south,1227
banda,band,1228
aprender,learn,1229
precio,price,1230
completo,full,1231
santo,holy,1232
culpable,guilty,1233
ganas,desire,1234
tuvimos,We had,1235
you,You,1236
verla,see.,1237
volvió,went back,1238
libros,books,1239
ojo,eye,1240
serán,will be,1241
cielos,Heavens,1242
matado,killed,1243
azul,blue,1244
diferentes,different,1245
irte,leave,1246
ia,ia.,1247
comandante,commander,1248
acción,action,1249
reglas,rules,1250
obra,construction site,1251
esperanza,hope,1252
cuestión,question,1253
molesta,annoying,1254
teniendo,having,1255
bill,Bill.,1256
informe,report,1257
jimmy,Jimmy,1258
río,River,1259
bienvenido,Welcome,1260
abrir,to open,1261
tocar,to touch,1262
bob,Bob,1263
contar,tell,1264
sigo,I follow,1265
interior,inside,1266
apartamento,apartment,1267
vea,see,1268
estados,state,1269
estáis,Stays,1270
preocupa,worries,1271
tomó,I take,1272
principal,principal,1273
empieza,starts,1274
londres,London,1275
empezó,it started,1276
vayan,go,1277
jim,Jim.,1278
llaman,call.,1279
ojalá,if only,1280
perdona,forgives,1281
vuelvo,I come back,1282
golpe,blow,1283
quedarme,stay,1284
llamaré,I'll call,1285
acabado,finish,1286
estilo,style,1287
nueve,nine,1288
definitivamente,definitely,1289
quedar,stay,1290
cartas,letters,1291
bomba,bomb,1292
guardia,guard,1293
pistola,gun,1294
probar,try out,1295
majestad,majesty,1296
traer,to bring,1297
marcha,March,1298
pareces,you look like,1299
común,common,1300
aquel,that,1301
hacerle,do,1302
vuelo,flight,1303
nota,note,1304
danny,Danny,1305
humanos,humans,1306
estaremos,we will be,1307
valor,value,1308
suyo,yours,1309
objetivo,target,1310
repente,Suddenly,1311
debía,should,1312
rojo,Red,1313
bromeando,joking,1314
irá,go to,1315
entrada,entry,1316
doble,double,1317
dejaré,I will leave,1318
evitar,avoid,1319
máquina,machine,1320
cuello,neck,1321
conocí,I met,1322
tiempos,time,1323
tome,take,1324
nick,nick,1325
animales,animals,1326
alex,Alex.,1327
acaso,perhaps,1328
tuviera,I had,1329
pareja,couple,1330
verano,summer,1331
escuché,listen,1332
ama,AMA.,1333
serás,you will,1334
mentira,lie,1335
tarjeta,card,1336
hagan,do,1337
perdí,I missed,1338
correr,run,1339
steve,Steve.,1340
traído,brought,1341
llegue,I arrived,1342
preparado,prepared,1343
haberlo,To have it,1344
tony,Tony,1345
usa,uses,1346
intentar,try,1347
ayudarme,help me,1348
flores,flowers,1349
dando,giving,1350
vos,you,1351
opción,option,1352
isla,Island,1353
cierra,closing,1354
piel,skin,1355
enemigo,enemy,1356
dejo,left,1357
exacto,exactly,1358
imbécil,fool,1359
jóvenes,youths,1360
pedido,order,1361
larga,long,1362
entiende,understands,1363
justicia,Justice,1364
nuevos,new,1365
obviamente,obviously,1366
despierta,awake,1367
pido,I ask,1368
calor,heat,1369
luces,lights,1370
refiero,Refero.,1371
fuimos,we went,1372
batalla,battle,1373
déjalo,leave it alone,1374
intenta,try,1375
sarah,Sarah.,1376
fantástico,fantastic,1377
brazo,arm,1378
absolutamente,absolutely,1379
llena,full,1380
hacerme,do,1381
salga,out,1382
recordar,remember,1383
escapar,escape,1384
bosque,Forest,1385
gay,gay,1386
señores,Sirs,1387
quedan,stay,1388
piernas,legs,1389
visita,visit,1390
parís,Paris,1391
usando,using,1392
ganado,livestock,1393
movimiento,movement,1394
blanca,White,1395
rico,rich,1396
inocente,innocent,1397
pesar,weigh,1398
absoluto,absolute,1399
vacaciones,holidays,1400
um,Um.,1401
mismos,same.,1402
tomado,taken,1403
habías,You had,1404
planes,plans,1405
cine,movies,1406
toca,touched.,1407
brillante,shiny,1408
confianza,trust,1409
vuestra,your,1410
nombres,Names,1411
especialmente,especially,1412
fbi,FBI.,1413
embarazada,pregnant,1414
esperen,Wait,1415
pantalones,pants,1416
defensa,defending,1417
terminó,finished,1418
salido,stepped out,1419
estupendo,great,1420
jane,Jane.,1421
presión,Pressure,1422
inmediatamente,immediately,1423
testigo,witness,1424
deberían,should,1425
olvidado,forgotten,1426
soldados,Soldiers,1427
resulta,result,1428
tommy,Tommy,1429
depende,depends,1430
motivo,reason,1431
inglés,English,1432
suya,hers,1433
estudio,study,1434
acabar,finish,1435
sentimientos,feelings,1436
tomando,taking,1437
dieron,Given,1438
parecen,they look like,1439
llaves,keys,1440
perros,dogs,1441
propósito,purpose,1442
noticia,News,1443
partir,leaving,1444
vuestro,your,1445
metros,meters,1446
santa,Santa,1447
quedarse,to stay,1448
clientes,customers,1449
podrá,can.,1450
cuántas,how many,1451
ridículo,ridiculous,1452
damas,ladies,1453
estuviste,you were,1454
tranquila,quiet,1455
operación,operation,1456
come,eat,1457
empresa,business,1458
ayúdame,Help me,1459
laboratorio,laboratory,1460
elección,choice,1461
menudo,often,1462
beso,kiss,1463
copa,Cup,1464
conversación,conversation,1465
brazos,arms,1466
espíritu,spirit,1467
dejas,you let,1468
cansado,tired,1469
interesa,interest,1470
refieres,Refieres,1471
casado,married,1472
enorme,enormous,1473
asuntos,affairs,1474
fe,faith,1475
muestra,sample,1476
trampa,trap,1477
ray,Ray.,1478
billy,Billy.,1479
memoria,memory,1480
johnny,Johnny.,1481
contrario,contrary,1482
soldado,soldier,1483
subir,rise,1484
turno,turn,1485
encantaría,Enchantment,1486
preocupado,worried,1487
restaurante,restaurant,1488
saliendo,coming out,1489
escrito,written,1490
cálmate,take it easy,1491
bienvenida,welcome,1492
caer,fall,1493
llevaré,I will take,1494
leche,milk,1495
estrellas,Star,1496
prefiero,I prefer,1497
red,net,1498
viejos,old,1499
solamente,only,1500
oiga,Listen,1501
estén,Estase,1502
cuentas,accounts,1503
taxi,cab,1504
anillo,ring,1505
richard,Richard.,1506
preguntar,ask,1507
victoria,victory,1508
quiénes,Who is it,1509
héroe,hero,1510
pequeños,little ones,1511
decidido,decided,1512
películas,films,1513
responsable,responsable,1514
trago,drink,1515
volverá,To return to,1516
árbol,tree,1517
ibas,IBAS.,1518
dientes,teeth,1519
encantado,charmed,1520
camión,truck,1521
vender,to sell,1522
llame,I called,1523
detente,stop,1524
luchar,to struggle,1525
cabo,cape,1526
ruido,noise,1527
lucha,struggle,1528
muere,go dead,1529
reloj,watch,1530
gato,cat,1531
averiguar,find out,1532
volar,fly,1533
vayamos,Let's go,1534
tanta,so much,1535
vendrá,will come,1536
corriendo,in a hurry,1537
yendo,going,1538
colegio,college,1539
sonido,sound,1540
